time raw_flux bkg_flux res_flux "position angle"
55950.00399678 186606.51499676704 4266.316381946206 182340.19861482084 224.535599
55950.037469 187047.63246417046 5487.838794857264 181559.7936693132 224.535599
55950.03884641 187220.94195604324 5255.125825718045 181965.8161303252 224.535599
55950.04022382 187037.92892110348 5005.9523085691035 182031.97661253437 224.535599
55950.04160123 186883.07203280926 4771.614987999201 182111.45704481006 224.535599
55950.04297826 186598.05932366848 4647.228788688779 181950.8305349797 224.535599
55950.04435567 186308.69976592064 4598.320684403181 181710.37908151746 224.535599
55950.04573308 185809.25695741177 4410.937937363982 181398.31902004778 224.535599
55950.04711048 185389.58232867718 4362.186963472515 181027.39536520466 224.535599
55950.04848752 185061.96490073204 4332.3801547288895 180729.58474600315 224.535599
55950.04986493 184697.80126273632 4311.255948588252 180386.54531414807 224.535599
55950.05124234 184321.0364460945 4299.366130337119 180021.6703157574 224.535599
55950.05261974 183963.39427042007 4272.525001034141 179690.86926938593 224.535599
55950.05399678 183662.37224805355 4293.079256236553 179369.292991817 224.535599
55950.05537419 183379.75142776966 4281.061414368451 179098.6900134012 224.535599
55950.0567516 183175.25109416246 4277.769721284509 178897.48137287796 224.535599
55950.058129 183101.31224489212 4248.483482316136 178852.82876257598 224.535599
55950.05950604 183009.23683542013 4266.008519038558 178743.22831638157 224.535599
55950.06088345 183018.47670972347 4295.544055685401 178722.93265403807 224.535599
55950.06226085 183031.7547186613 4245.9647253751755 178785.78999328613 224.535599
55950.06363826 182957.20538246632 4248.749473072588 178708.45590939373 224.535599
55950.0650153 182959.44708693027 4253.124681591988 178706.3224053383 224.535599
55950.06639271 182968.9168431759 4261.181816514581 178707.7350266613 224.535599
55950.06777011 182922.81521177292 4267.003151584417 178655.8120601885 224.535599
55950.06914752 182893.52229970694 4259.4826874136925 178634.03961229324 224.535599
55950.07052456 182907.74060630798 4248.572506587952 178659.16809972003 224.535599
55950.10400863 183043.834556818 5191.346158832312 177852.4883979857 224.535599
55950.10538567 183271.9649078846 5013.433724403381 178258.53118348122 224.535599
55950.10676345 183249.48987782001 4849.73021773994 178399.75966008008 224.535599
55950.10814048 183109.5184623003 4683.287622019649 178426.23084028065 224.535599
55950.10951789 183048.5892571211 4585.399150714278 178463.1901064068 224.535599
55950.11089493 183022.6129795313 4545.845582976937 178476.76739655435 224.535599
55950.11227271 182774.85207402706 4375.619377858937 178399.23269616812 224.535599
55950.11364974 182857.64223444462 4326.939987525344 178530.70224691927 224.535599
55950.11502715 182863.40481960773 4317.6809162423015 178545.72390336543 224.535599
55950.11640419 182880.01980662346 4287.229017533362 178592.7907890901 224.535599
55950.1177816 182775.02710306644 4280.85994104296 178494.16716202348 224.535599
55950.119159 182941.64527904987 4289.815364256501 178651.82991479337 224.535599
55950.12053641 182933.0467351675 4290.614182770252 178642.43255239725 224.535599
55950.12191345 182957.7082606554 4280.140364289284 178677.56789636612 224.535599
55950.12329123 183051.37486958504 4271.243018366396 178780.13185121864 224.535599
55950.12466826 183010.2033343315 4256.559665039182 178753.64366929233 224.535599
55950.12604567 183098.60611855984 4283.332851797342 178815.2732667625 224.535599
55950.12742271 183106.0259705782 4266.937027275562 178839.08894330263 224.535599
55950.12880011 183164.00774514675 4281.944969683886 178882.06277546287 224.535599
55950.13017752 183176.93816757202 4258.780688405037 178918.15747916698 224.535599
55950.13155493 183415.56271255016 4251.740936815739 179163.82177573442 224.535599
55950.13293197 183764.45920586586 4245.692839577794 179518.76636628807 224.535599
55950.13430937 184189.8004682064 4288.549319021404 179901.251149185 224.535599
55950.13568678 184455.89965355396 4263.375031262636 180192.52462229133 224.535599
55950.13706419 184913.12200301886 4245.337263777852 180667.784739241 224.535599
55943.12113789 180409.76722884178 7249.673591822386 173160.0936370194 212.661407
55943.1225153 181201.71859145164 7114.4026513546705 174087.31594009697 212.661407
55943.12389271 181657.6562461853 7040.499511793256 174617.15673439205 212.661407
55943.12527011 181833.18089997768 6973.299699127674 174859.88120085 212.661407
55943.12664715 181990.9120464325 6962.896978348494 175028.015068084 212.661407
55943.12802456 182163.26619648933 6944.963176190853 175218.30302029848 212.661407
55943.12940197 182141.24273824692 6884.64069314301 175256.6020451039 212.661407
55943.13077937 182256.11920380592 6848.753909215331 175407.3652945906 212.661407
55943.13215641 182234.7428498268 6850.284612461925 175384.4582373649 212.661407
55943.13353382 182336.33067643642 6874.983897969127 175461.3467784673 212.661407
55943.13491123 182347.6862435341 6869.557995527983 175478.1282480061 212.661407
55943.13628863 182479.55328726768 6875.505739688873 175604.0475475788 212.661407
55943.13766567 182424.0478733778 6876.370814502239 175547.67705887556 212.661407
55943.13904308 182443.40590000153 6856.612738341093 175586.79316166043 212.661407
55943.14042048 182431.18165838718 6857.441177383065 175573.74048100412 212.661407
55943.14179789 182522.86180853844 6847.321014434099 175675.54079410434 212.661407
55943.14317493 182532.69077706337 6849.336301147938 175683.35447591543 212.661407
55943.14455234 182519.0907136202 6856.023345410824 175663.06736820936 212.661407
55943.14592974 182516.365193367 6855.7212485820055 175660.643944785 212.661407
55943.14730715 182453.32027566433 6879.793557584286 175573.52671808004 212.661407
55943.14868419 182532.2247993946 6871.905066078063 175660.31973331654 212.661407
55943.1500616 182558.83609062433 6874.751659244299 175684.08443138003 212.661407
55943.151439 182739.9331124425 7138.034767195582 175601.8983452469 212.661407
55943.18493419 182986.17433166504 7823.872648045421 175162.30168361962 212.661407
55943.1863116 183000.85199797153 7544.860565111041 175455.9914328605 212.661407
55943.187689 182872.33942258358 7283.317513376474 175589.0219092071 212.661407
55943.18906641 182749.60402560234 7152.270426183939 175597.3335994184 212.661407
55943.19044345 182710.63085901737 7050.440581917763 175660.1902770996 212.661407
55943.19182085 182817.18764972687 6980.839012429118 175836.34863729775 212.661407
55943.19319826 182744.68225109577 6991.662050411105 175753.02020068467 212.661407
55943.19457567 182658.66263103485 6975.379195585847 175683.283435449 212.661407
55943.19595271 182644.87113666534 6950.208819672465 175694.66231699288 212.661407
55943.19733011 182691.9058661461 6906.0758841484785 175785.8299819976 212.661407
55943.19870752 182727.33320224285 6901.860845834017 175825.47235640883 212.661407
55943.20008493 182672.35648530722 6874.587738111615 175797.7687471956 212.661407
55943.20146197 182783.6760891676 6897.456102997065 175886.21998617053 212.661407
55943.20283937 182722.3226417899 6885.237982571125 175837.0846592188 212.661407
55943.20421678 182621.7887532115 6885.516284674406 175736.2724685371 212.661407
55943.20559419 182726.4119799137 6886.9617372229695 175839.45024269074 212.661407
55943.20697123 182712.02276813984 6883.598817393184 175828.42395074666 212.661407
55943.20834863 182689.4928328991 6895.981010712683 175793.5118221864 212.661407
55943.20972604 182661.67531841993 6890.576354801655 175771.09896361828 212.661407
55943.21110345 182712.28683638573 6875.380578532815 175836.9062578529 212.661407
55943.21248048 182701.56645411253 6880.372861936688 175821.19359217584 212.661407
55943.21385789 182773.47357171774 6912.09630125761 175861.37727046013 212.661407
55943.2152353 182640.8640088439 6890.2535358816385 175750.61047296226 212.661407
55943.21661271 182752.0472946167 6900.289511063136 175851.75778355356 212.661407
55943.21798974 183067.43347257376 7208.048276124522 175859.38519644924 212.661407
55943.25147382 182899.7630903721 7772.202965587378 175127.5601247847 212.661407
55943.25285085 183033.4510806799 7497.308924540877 175536.14215613902 212.661407
55943.25422826 182891.07569289207 7278.086822941899 175612.98886995018 212.661407
55943.25560567 182812.17558002472 7156.834416896105 175655.3411631286 212.661407
55943.25698308 182720.95989894867 7042.054350361228 175678.90554858744 212.661407
55943.25836011 182575.63133573532 6970.494871020317 175605.136464715 212.661407
55943.25973752 182628.28983330727 6978.548805791885 175649.74102751538 212.661407
55943.26111493 182690.98494279385 6946.010666698217 175744.97427609563 212.661407
55943.26249234 182571.38907027245 6924.545278519392 175646.84379175305 212.661407
55943.26386937 182553.60012930632 6928.9471766501665 175624.65295265615 212.661407
55943.26524678 182637.062764287 6929.423188433982 175707.639575853 212.661407
55943.26662419 182572.49824541807 6916.594220422208 175655.90402499586 212.661407
55943.2680016 182511.54061079025 6909.895488411188 175601.64512237906 212.661407
55943.26937863 182561.00161612034 6894.832626350224 175666.1689897701 212.661407
55943.27075604 182582.80868643522 6895.955598626286 175686.85308780894 212.661407
55943.27213345 182657.7370479703 6908.031573906541 175749.70547406375 212.661407
55943.27351085 182576.71218413115 6887.159042648971 175689.55314148217 212.661407
55943.27488789 182621.7920230627 6903.324431464076 175718.46759159863 212.661407
55943.2762653 182598.07685822248 6885.781104341149 175712.29575388134 212.661407
55943.27764271 182566.23618155718 6916.800282776356 175649.43589878082 212.661407
55943.27902011 182503.21216112375 6879.331483826041 175623.8806772977 212.661407
55943.28039715 182555.97019302845 6894.932992821559 175661.0372002069 212.661407
55943.28177456 182559.37426537275 6881.807998657227 175677.56626671553 212.661407
55943.28315197 182645.04384416342 6960.479144193232 175684.5646999702 212.661407
55943.28452937 183265.01158332825 7622.6901279091835 175642.32145541906 212.661407
55943.31797826 182785.5463871956 7742.488488823175 175043.0578983724 212.661407
55943.31935567 182772.9331817627 7474.74351850152 175298.18966326118 212.661407
55943.32073308 182838.27039170265 7268.968530751765 175569.3018609509 212.661407
55943.32211011 182615.95026540756 7117.385796174407 175498.56446923316 212.661407
55943.32348752 182576.6236422062 7028.094120022841 175548.52952218335 212.661407
55943.32486493 182466.09467470646 6983.032609954476 175483.06206475198 212.661407
55943.32624234 182586.52976596355 6980.121845558286 175606.40792040527 212.661407
55943.32761937 182601.20240092278 6952.441730886698 175648.76067003608 212.661407
55943.32899678 182542.70643091202 6932.570608690381 175610.13582222164 212.661407
55943.33037419 182604.532181561 6917.494774952531 175687.03740660846 212.661407
55943.3317516 182582.93979138136 6938.064157836139 175644.87563354522 212.661407
55943.33312863 182614.64925724268 6930.605428054929 175684.04382918775 212.661407
55943.33450604 182526.13708484173 6906.283792808652 175619.85329203308 212.661407
55943.33588345 182636.0210813284 6915.876903027296 175720.1441783011 212.661407
55943.33726085 182652.53136473894 6906.54206700623 175745.9892977327 212.661407
55943.33863789 182626.32985293865 6901.065284758806 175725.26456817985 212.661407
55943.3400153 182533.8442941308 6915.061471819878 175618.78282231092 212.661407
55943.34139271 182569.7985727191 6906.951211556792 175662.8473611623 212.661407
55943.34277011 182561.01902848482 6898.2867069244385 175662.73232156038 212.661407
55943.34414715 182651.91601967812 6914.2208103612065 175737.6952093169 212.661407
