col0 col1
64.0 72.97864321952042
64.0 72.98093491291364
64.0 72.97479769594365
64.0 72.98028125032144
64.0 72.97830747595005
64.0 72.9667061279624
64.0 72.96716123994196
64.0 72.96198523900256
64.0 72.96827275420434
64.0 72.96370503270957
64.0 72.96980571070083
64.0 72.96963415116326
64.0 72.97137721064267
64.0 72.9741947706306
64.0 72.9748843997552
64.0 72.97714290992703
64.0 72.98332587185959
64.0 72.98826784565544
64.0 72.98576240457766
64.0 72.98928013786045
64.0 72.99030554255646
64.0 72.98998384695467
64.0 72.99603562648417
64.0 72.98628330601213
64.0 72.98645261182733
64.0 72.98615303091609
64.0 72.97899609314747
64.0 72.98025011547648
64.0 72.98714961646627
64.0 72.97332357306007
64.0 72.97281312632414
64.0 72.96883103969395
64.0 72.96712249260943
64.0 72.96863253972039
64.0 72.97031974275191
64.0 72.96983004300039
64.0 72.9738924954463
64.0 72.97140818286236
64.0 72.97987807314315
64.0 72.98017804087885
64.0 72.97803989910065
64.0 72.97973101281369
64.0 72.98490979417751
64.0 72.98614505715695
64.0 72.98516757463295
64.0 72.9880317721282
64.0 72.98688134119297
64.0 72.9986863349903
64.0 72.99296919443987
64.0 72.99565694346819
64.0 72.99550979471928
64.0 72.99416859677078
64.0 72.99055721306496
64.0 72.99575585550801
64.0 72.98114675117085
64.0 72.98418065228152
64.0 72.97936802876286
64.0 72.97584982572359
64.0 72.97860805713465
64.0 72.97559299049607
64.0 72.97620907355908
64.0 72.97821016930051
64.0 72.9751830964191
64.0 72.98898099535393
64.0 72.98936316695536
64.0 72.99277798623545
64.0 72.99176517736817
64.0 72.99891899658479
64.0 72.9956542052707
64.0 72.99388416913692
64.0 72.99782956335588
64.0 73.00009625780334
64.0 73.00489127352752
64.0 72.99855238723573
64.0 72.99618716817368
64.0 72.99911519070474
64.0 72.99798564886831
64.0 72.99765380468943
64.0 72.99726827822042
64.0 72.98676956503903
64.0 72.98233199976298
64.0 72.98289378981326
64.0 72.97846751044827
64.0 72.97667379857843
64.0 72.97948742199289
64.0 72.9784086790735
64.0 72.97622261724634
64.0 72.98081180146889
64.0 72.98764227673732
64.0 72.98731948303781
64.0 72.98956888302882
64.0 72.9849343919312
64.0 72.99020501081364
64.0 72.99262103673477
64.0 72.99376960638276
64.0 72.99413676615202
64.0 72.99520701275527
64.0 72.99910826438364
64.0 74.55726024069263
64.0 74.55596703755533
64.0 74.55679080623442
64.0 74.55865264013106
64.0 74.54496326858606
64.0 74.5438456932495
64.0 74.54299236568278
64.0 74.54634269309554
64.0 74.54257725113895
64.0 74.54629691214755
64.0 74.54342365366246
64.0 74.55679352135184
64.0 74.56365553288599
64.0 74.5744835554923
64.0 74.57436028176969
64.0 74.58932875907612
64.0 74.58866723331114
64.0 74.59062168135132
64.0 74.59859508403501
64.0 74.60229137862275
64.0 74.60360068972055
64.0 74.60619221749154
64.0 74.62623636325169
64.0 74.57714984472062
64.0 74.56901097990067
64.0 74.5645575441316
64.0 74.5762626605445
64.0 74.57085680488991
64.0 74.57277112077561
64.0 74.5558743861082
64.0 74.5546017518419
64.0 74.55184967908012
64.0 74.54305498543197
64.0 74.54393082233406
64.0 74.54394907567057
64.0 74.5451927155862
64.0 74.54576941814798
64.0 74.55775643710615
64.0 74.55527389509002
64.0 74.5608179790354
64.0 74.57528302701505
64.0 74.57611023189838
64.0 74.58418002588273
64.0 74.58788003644624
64.0 74.58669362694036
64.0 74.59015110667512
64.0 74.58843500786855
64.0 74.60957748390912
64.0 74.59043203164433
64.0 74.5878096008563
64.0 74.58955509884913
64.0 74.58499243814249
64.0 74.58161100698764
64.0 74.58825197938037
64.0 74.57176965773674
64.0 74.56084274487941
64.0 74.56603930974389
64.0 74.55229318981489
64.0 74.5542435244514
64.0 74.56415626002048
64.0 74.5630081731995
64.0 74.57025267512509
64.0 74.5658660178026
64.0 74.56761189839791
64.0 74.58057750757577
64.0 74.5898694127958
64.0 74.58866408125644
64.0 74.592861381563
64.0 74.59841213503296
64.0 74.61337223031227
64.0 74.60424580068822
64.0 74.61184591646996
64.0 74.6248338459908
64.0 74.62028450383576
64.0 74.62062098491937
64.0 74.6154785584806
64.0 74.60882164703968
64.0 74.61281478668948
64.0 74.62469798201575
64.0 74.60715659688093
64.0 74.59887063634575
64.0 74.59168714086145
64.0 74.59950155299542
64.0 74.59232724375515
64.0 74.59707052385545
64.0 74.59965607422754
64.0 74.60167769223033
64.0 74.6015024820324
64.0 74.61204472810905
64.0 74.62150654250235
64.0 74.62355992749836
64.0 74.62820201656882
64.0 74.63364022810451
64.0 74.64410931054218
64.0 74.64468961959352
64.0 74.64302956742839
64.0 74.64473894217076
64.0 74.65821939201462
64.0 77.47160387817999
64.0 77.47521068368843
64.0 77.47547705939444
64.0 77.4737228670281
64.0 77.47089839106204
64.0 77.47632407472598
64.0 77.47460036868881
64.0 77.47365644547546
64.0 77.4773028591376
64.0 72.83083521766291
64.0 72.83013117968764
64.0 72.8375189675693
64.0 77.54543453206408
64.0 72.84212695063545
64.0 77.47403109027879
64.0 77.47423247708899
64.0 77.47292382694407
64.0 77.47524821328639
64.0 77.47142990950438
64.0 77.47921747209308
64.0 77.47937806387974
64.0 77.47806887377061
64.0 77.48203487128926
64.0 77.4769453711986
64.0 77.47113587280609
64.0 77.48023394024847
64.0 77.47278739816511
64.0 77.47417624108748
64.0 77.47704837564275
64.0 77.47754284752428
64.0 77.4718710201634
64.0 72.83678125845951
64.0 77.47198703895343
64.0 77.47640944089336
64.0 77.47394979289317
64.0 77.47684770376497
64.0 77.47532684275367
64.0 77.47433741146648
64.0 77.47633853660352
64.0 77.473443920087
64.0 77.4768491857786
64.0 77.4767426066743
64.0 77.47748734505555
64.0 77.48049068979174
64.0 77.47524120129565
64.0 77.4799446036863
64.0 72.86635968326527
64.0 72.86937850213394
64.0 77.47428435345353
64.0 77.4769302932951
64.0 77.47718204368014
64.0 72.86205179573571
64.0 77.47344855352523
64.0 77.46887638301087
64.0 77.47240424914958
64.0 77.47432283805831
64.0 77.47221789716829
64.0 77.47699266319653
64.0 77.47623539711677
64.0 72.84447878086377
64.0 72.8460444766835
64.0 77.47726094433871
64.0 77.47734337242271
64.0 77.47980962860203
64.0 77.47904275236824
64.0 77.47416214596898
64.0 77.47859787663612
64.0 77.47352763606065
64.0 72.86710527866312
64.0 72.86800182241635
64.0 72.87014588751826
64.0 72.87170683066
64.0 72.87780852354999
64.0 72.86890684751587
64.0 72.87805058665406
64.0 77.46453894450094
64.0 77.46371273208227
64.0 72.86182096310682
64.0 72.86620739075559
64.0 72.86146664579263
64.0 77.47119773336777
64.0 77.47883348314797
64.0 77.47753198111512
64.0 77.47406732957283
64.0 72.86562164386817
64.0 77.47874370129126
64.0 72.86364308377665
64.0 72.86609589052186
64.0 72.87113238620202
64.0 77.46956669274421
64.0 72.869215374082
64.0 77.47937944462656
64.0 72.87688255256927
64.0 72.87449152776995
64.0 77.47061157483425
64.0 72.88201403226493
64.0 72.88467127185751
64.0 72.89670493516513
64.0 77.47422822987217
64.0 77.47968874546015
64.0 72.85551359489773
64.0 77.46429970742463
64.0 72.86032195742236
64.0 77.47175616413536
64.0 72.86027917376914
64.0 72.86081257034144
64.0 72.85993696530883
64.0 72.86153548334502
64.0 72.86384768843985
64.0 77.47073530605827
64.0 72.86450323841707
64.0 77.46092678955088
64.0 77.46969190935293
64.0 72.87421916748801
64.0 72.8746391260865
64.0 72.873968117359
64.0 72.8726774866367
64.0 72.87872607098787
64.0 72.8803133643482
64.0 72.8745178441447
64.0 72.88130308196436
64.0 77.47629948467049
64.0 72.85820588602944
64.0 72.86144786470237
64.0 77.47699502449562
64.0 72.8693724065763
64.0 72.86526361327834
64.0 72.85812434050644
64.0 72.85807061824549
64.0 72.85771227221963
64.0 77.47058504799728
64.0 72.8571100227183
64.0 77.46523266075839
64.0 72.85687157869047
64.0 77.468382671626
64.0 72.85775311266868
64.0 72.85769008716767
64.0 77.50024405753595
64.0 72.85975371923455
64.0 72.8634122445049
64.0 72.85961731302449
64.0 77.4657395789335
64.0 77.45856557449973
64.0 72.86303609934944
64.0 72.86531240855922
64.0 72.87143178387444
64.0 72.8725393278037
64.0 77.4746567536816
64.0 77.474042087551
64.0 77.47136395101401
64.0 77.47285761539071
64.0 77.4653319481884
64.0 77.47115431401328
64.0 72.86814933336608
64.0 72.87072579215817
64.0 77.46028180970244
64.0 72.87423768532867
64.0 72.87081720932493
64.0 72.87908777553086
64.0 72.8808996680615
64.0 72.87958611670342
64.0 72.87808973535864
64.0 72.88077761019971
64.0 72.87827579374759
64.0 72.87998001941753
64.0 72.87899448443957
64.0 72.88223625071998
64.0 72.87854597141528
64.0 72.88612908657747
64.0 72.88456093784346
64.0 72.89852205718994
64.0 72.90703106650523
64.0 72.91390930204713
64.0 72.91486856950428
64.0 72.91329953819265
64.0 72.91251480222083
64.0 72.91529881900057
64.0 72.91509287524025
64.0 72.90819974616741
64.0 72.90742929562916
64.0 72.90793463920578
64.0 72.91057917376217
64.0 72.9136610516199
64.0 72.91294594209782
64.0 72.91882624032306
64.0 72.9161561667968
64.0 72.91741557717273
64.0 72.91531492513636
64.0 72.92089811714466
64.0 72.9165114770176
64.0 72.92068016161532
64.0 72.9202754508456
64.0 72.9214599786919
64.0 72.92469189347135
64.0 72.92724195005192
64.0 72.93536977649292
